tractid,CLT.Homes,Not.Gentrified,Nogent.CLT
fips-04-013-422209,1,1,1
fips-04-013-422210,0,0,0
fips-04-013-422211,0,0,0
fips-04-013-422218,1,0,0
fips-04-013-422219,1,1,1
fips-04-013-422220,0,0,0
fips-04-013-422304,0,1,0
fips-04-013-522901,1,0,0
fips-04-013-522903,1,1,1
fips-04-013-522904,1,0,0
fips-04-013-523002,1,0,0
fips-04-013-523003,1,0,0
fips-04-013-523005,0,1,0
fips-04-013-523006,1,0,0
fips-04-013-523102,1,0,0
fips-04-013-523103,1,1,1
fips-04-013-523104,1,0,0
fips-04-013-810200,0,0,0
fips-04-013-810300,1,0,0
fips-04-013-810400,0,1,0
fips-04-013-810500,0,0,0
fips-04-013-810600,0,0,0
fips-04-013-810700,1,0,0
fips-04-013-810800,0,0,0
fips-04-013-810900,1,1,1
fips-04-013-811000,0,0,0
fips-04-013-811100,1,0,0
fips-04-013-811200,0,0,0
fips-04-013-811300,1,1,1
fips-04-013-811400,1,0,0
fips-04-013-811500,0,0,0
fips-04-013-811600,0,0,0
fips-04-013-811700,1,0,0
fips-04-013-811800,0,0,0
fips-04-013-811900,0,0,0
fips-04-013-812000,0,1,0
fips-04-013-812100,0,0,0
fips-04-013-812200,0,0,0
fips-04-013-812300,0,0,0
fips-04-013-812400,0,0,0
fips-04-013-812500,0,0,0
fips-04-013-812600,0,0,0
fips-04-013-812700,0,0,0
fips-04-013-812800,0,0,0
fips-04-013-812900,0,0,0
fips-04-013-813000,0,0,0
fips-04-013-813100,0,0,0
fips-04-013-813200,0,0,0
fips-04-013-813300,0,0,0
fips-04-013-813400,0,0,0
fips-04-013-813500,0,0,0
fips-04-013-813600,0,0,0
fips-04-013-813800,0,0,0
fips-04-013-813900,0,1,0
fips-04-013-814000,0,0,0
fips-04-013-814100,0,0,0
fips-04-013-980400,0,0,0
