tractid,City
fips-04-013-422209,Chandler
fips-04-013-422210,Chandler
fips-04-013-422211,Chandler
fips-04-013-422218,Chandler
fips-04-013-422219,Chandler
fips-04-013-422220,Chandler
fips-04-013-422304,Chandler
fips-04-013-522901,Chandler
fips-04-013-522903,Chandler
fips-04-013-522904,Chandler
fips-04-013-810400,Chandler
fips-04-013-810500,Chandler
fips-04-013-810600,Chandler
fips-04-013-810200,Chandler
fips-04-013-810700,Chandler
fips-04-013-980400,Chandler
fips-04-013-810900,Chandler
fips-04-013-811000,Chandler
fips-04-013-811100,Chandler
fips-04-013-811200,Chandler
fips-04-013-810300,Chandler
fips-04-013-810800,Chandler
fips-04-013-811800,Chandler
fips-04-013-811300,Chandler
fips-04-013-811400,Chandler
fips-04-013-811500,Chandler
fips-04-013-811600,Chandler
fips-04-013-811700,Chandler
fips-04-013-812100,Chandler
fips-04-013-523002,Chandler
fips-04-013-523003,Chandler
fips-04-013-523005,Chandler
fips-04-013-523006,Chandler
fips-04-013-523102,Chandler
fips-04-013-523103,Chandler
fips-04-013-523104,Chandler
fips-04-013-811900,Chandler
fips-04-013-812000,Chandler
fips-04-013-812200,Chandler
fips-04-013-812300,Chandler
fips-04-013-812400,Chandler
fips-04-013-812500,Chandler
fips-04-013-812600,Chandler
fips-04-013-812700,Chandler
fips-04-013-812800,Chandler
fips-04-013-812900,Chandler
fips-04-013-813000,Chandler
fips-04-013-813100,Chandler
fips-04-013-813200,Chandler
fips-04-013-813300,Chandler
fips-04-013-813400,Chandler
fips-04-013-813500,Chandler
fips-04-013-813600,Chandler
fips-04-013-813800,Chandler
fips-04-013-813900,Chandler
fips-04-013-814000,Chandler
fips-04-013-814100,Chandler
