tractid,Census Tract,Number.CLT.Houses
fips-04-013-422209,422209,6
fips-04-013-422218,422218,1
fips-04-013-422219,422219,1
fips-04-013-522901,522901,1
fips-04-013-522903,522903,3
fips-04-013-522904,522904,5
fips-04-013-523002,523002,15
fips-04-013-523003,523003,10
fips-04-013-523006,523006,3
fips-04-013-523102,523102,4
fips-04-013-523103,523103,1
fips-04-013-523104,523104,3
fips-04-013-810300,810300,2
fips-04-013-810700,810700,1
fips-04-013-810900,810900,1
fips-04-013-811100,811100,2
fips-04-013-811300,811300,2
fips-04-013-811400,811400,3
fips-04-013-811700,811700,1
